Email_ID,Text,Label
EM0198,"Subject: Data Analyst Interview Schedule

Dear Sankha, thank you for applying for the Data Analyst position at CODR. We would like to schedule a 30-minute technical interview via Google Meet this Thursday at 2 PM. Please let us know if this time works for you. Sincerely, Team.",0
EM0313,"Subject: Dinner plans for Friday night?

Hey, are you free this Friday for dinner? Some of us are planning to try the new Italian place downtown. Let me know by Wednesday so I can make a reservation. Hope you can make it! Sincerely, CODR.",0
EM0443,"Subject: Data Analyst Interview Schedule

Dear Sankha, thank you for applying for the Data Analyst position at CODR. We would like to schedule a 30-minute technical interview via Google Meet this Thursday at 2 PM. Please let us know if this time works for you. Sincerely, CODR.",0
EM0479,"Subject: Dinner plans for Friday night?

Hey, are you free this Friday for dinner? Some of us are planning to try the new Italian place downtown. Let me know by Wednesday so I can make a reservation. Hope you can make it! Sincerely, HR.",0
EM0070,"Subject: Project Status Update - Weekly Meeting

Hi team, please find the weekly project status report attached. Let's meet tomorrow at 10 AM in Conference Room B to discuss the database migration and backend container orchestration details. Thanks, Project Manager. Sincerely, Sankha.",0
EM0341,"Subject: Your monthly utility bill is ready

Dear resident, your digital utility bill for April 2026 is now available. The total amount due is $145.20, which will be auto-debited from your registered card on May 5th. Thank you. Sincerely, Sankha.",0
EM0370,"Subject: Your monthly utility bill is ready

Dear resident, your digital utility bill for April 2026 is now available. The total amount due is $145.20, which will be auto-debited from your registered card on May 5th. Thank you. Sincerely, Sankha.",0
EM0282,"Subject: Work from home and earn $500/hour

Hello! We are looking for remote data entry assistants. Work only 2 hours a day and earn $500 per hour. No experience required. If you are interested, please visit http://easy-money-jobs-now.com to apply today. Reference ID: 62969.",1
EM0483,"Subject: Monthly newsletter: Tech trends

Hello subscriber, here is our monthly digest of software development trends, covering concurrent React rendering, SEO strategies, and Edge caching performance metrics. Read the full article on our blog. Sincerely, HR.",0
EM0239,"Subject: Monthly newsletter: Tech trends

Hello subscriber, here is our monthly digest of software development trends, covering concurrent React rendering, SEO strategies, and Edge caching performance metrics. Read the full article on our blog. Sincerely, HR.",0
