Post_ID,Date,Username,Text,True_Sentiment
POST0033,2026-01-02 00:00:00,@code_ninja,Great customer support! Resolved my query in under 5 minutes. highly recommend. Thanks to the developers!,Positive
POST0080,2026-01-02 00:00:00,@analyst_sam,High latency and constant lag. This is definitely not the standard we expected.,Negative
POST0234,2026-01-02 00:00:00,@biz_leader,"Stunning dashboard design by CODR. Simple, clean, and highly interactive.",Positive
POST0021,2026-01-04 00:00:00,@code_ninja,"Excellent product! Clean code, solid documentation, and flawless execution.",Positive
POST0047,2026-01-04 00:00:00,@cloud_expert,Absolutely love the new CODR Analytics tool! It has saved us hours of work. #dataanalytics #business,Positive
POST0069,2026-01-04 00:00:00,@dev_alice,"Excellent product! Clean code, solid documentation, and flawless execution.",Positive
POST0113,2026-01-04 00:00:00,@it_manager,Incredibly impressed with the performance scaling. Handles millions of rows without a sweat. Thanks to the developers!,Positive
POST0198,2026-01-04 00:00:00,@dev_alice,Reading a comparison article between various Python NLP libraries today.,Neutral
POST0221,2026-01-04 00:00:00,@biz_leader,"Excellent product! Clean code, solid documentation, and flawless execution.",Positive
POST0002,2026-01-05 00:00:00,@startup_founder,Absolutely love the new CODR Analytics tool! It has saved us hours of work. #dataanalytics #business,Positive
POST0053,2026-01-05 00:00:00,@cloud_expert,The antigravity framework is incredibly fast. Perceived latency is virtually zero! Thanks to the developers!,Positive
POST0201,2026-01-05 00:00:00,@data_dan,"Customer support is completely unresponsive. Opened a ticket 3 days ago, still no response. Please fix this ASAP.",Negative
POST0280,2026-01-05 00:00:00,@tech_guru,We are currently evaluating multiple BI tools for our team's workflow.,Neutral
POST0301,2026-01-05 00:00:00,@analyst_sam,Absolutely love the new CODR Analytics tool! It has saved us hours of work. #dataanalytics #business Thanks to the developers!,Positive
POST0028,2026-01-06 00:00:00,@dev_alice,"Customer support is completely unresponsive. Opened a ticket 3 days ago, still no response.",Negative
POST0269,2026-01-06 00:00:00,@it_manager,"Customer support is completely unresponsive. Opened a ticket 3 days ago, still no response. Please fix this ASAP.",Negative
POST0006,2026-01-07 00:00:00,@tech_guru,Incredibly impressed with the performance scaling. Handles millions of rows without a sweat. Thanks to the developers!,Positive
POST0096,2026-01-07 00:00:00,@analyst_sam,"This app is so slow, it takes minutes to load a simple CSV. Unacceptable performance. Please fix this ASAP.",Negative
POST0116,2026-01-07 00:00:00,@startup_founder,The antigravity framework is incredibly fast. Perceived latency is virtually zero!,Positive
POST0143,2026-01-07 00:00:00,@tech_guru,The interface feels very clunky and outdated. Needs a major visual redesign.,Negative
POST0211,2026-01-07 00:00:00,@tech_guru,Just downloaded the new analytics tool. Let's see how it compares to others.,Neutral
POST0268,2026-01-08 00:00:00,@biz_leader,"Smooth transitions, high speed, and elegant aesthetics. Truly premium feel.",Positive
POST0327,2026-01-08 00:00:00,@it_manager,Incredibly impressed with the performance scaling. Handles millions of rows without a sweat.,Positive
POST0087,2026-01-09 00:00:00,@code_ninja,"Smooth transitions, high speed, and elegant aesthetics. Truly premium feel. Thanks to the developers!",Positive
POST0099,2026-01-09 00:00:00,@analyst_sam,Incredibly impressed with the performance scaling. Handles millions of rows without a sweat.,Positive
POST0108,2026-01-09 00:00:00,@code_ninja,Best tool in the market for data analysts. The visualization capabilities are second to none.,Positive
POST0136,2026-01-09 00:00:00,@data_dan,"This software is a game changer for our business intelligence pipeline. Great job, team! Thanks to the developers!",Positive
POST0258,2026-01-09 00:00:00,@analyst_sam,Absolutely love the new CODR Analytics tool! It has saved us hours of work. #dataanalytics #business Thanks to the developers!,Positive
POST0296,2026-01-09 00:00:00,@startup_founder,Incredibly impressed with the performance scaling. Handles millions of rows without a sweat. Thanks to the developers!,Positive
POST0036,2026-01-10 00:00:00,@code_ninja,"This software is a game changer for our business intelligence pipeline. Great job, team! Thanks to the developers!",Positive
POST0137,2026-01-10 00:00:00,@it_manager,Is there a way to export the reports to PDF directly? Checking the documentation now.,Neutral
POST0330,2026-01-10 00:00:00,@analyst_sam,Great customer support! Resolved my query in under 5 minutes. highly recommend. Thanks to the developers!,Positive
POST0005,2026-01-11 00:00:00,@analyst_sam,Best tool in the market for data analysts. The visualization capabilities are second to none.,Positive
POST0019,2026-01-11 00:00:00,@analyst_sam,The interface feels very clunky and outdated. Needs a major visual redesign.,Negative
POST0054,2026-01-11 00:00:00,@data_dan,"Smooth transitions, high speed, and elegant aesthetics. Truly premium feel.",Positive
POST0061,2026-01-11 00:00:00,@cloud_expert,Standard data analytics platform. Has all the basic features you'd expect.,Neutral
POST0088,2026-01-11 00:00:00,@cloud_expert,"So easy to use, even our marketing team can run queries now. Fantastic UX design. Thanks to the developers!",Positive
POST0184,2026-01-13 00:00:00,@data_dan,"This software is a game changer for our business intelligence pipeline. Great job, team!",Positive
POST0210,2026-01-13 00:00:00,@data_dan,"Stunning dashboard design by CODR. Simple, clean, and highly interactive.",Positive
POST0281,2026-01-13 00:00:00,@data_dan,The app underwent scheduled server maintenance last night. No major changes noticed.,Neutral
POST0353,2026-01-13 00:00:00,@cloud_expert,"This software is a game changer for our business intelligence pipeline. Great job, team!",Positive
POST0142,2026-01-14 00:00:00,@tech_guru,"Smooth transitions, high speed, and elegant aesthetics. Truly premium feel. Thanks to the developers!",Positive
POST0183,2026-01-14 00:00:00,@cloud_expert,"This software is a game changer for our business intelligence pipeline. Great job, team! Thanks to the developers!",Positive
POST0244,2026-01-14 00:00:00,@dev_alice,The app underwent scheduled server maintenance last night. No major changes noticed.,Neutral
